SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,15,0.9182,0.0168,5.8737,0.8658,0.0309,93.7500,0.0000,bio4
SRR11487932,15,0.9072,0.0164,5.3213,0.8688,0.0316,87.5000,0.0000,bio4
SRR11487933,15,0.9109,0.0153,6.6431,0.8776,0.0298,87.5000,0.0000,bio4
SRR11487934,15,0.8996,0.0151,5.8927,0.8793,0.0315,93.7500,0.0000,bio4
SRR11487935,15,0.9156,0.0143,5.6251,0.8853,0.0288,87.5000,0.0000,bio4
Average,15,0.9103,0.0156,5.8712,0.8753,0.0305,90.0000,0.0000,bio4
SRR11487931,20,0.9036,0.0219,6.8553,0.8241,0.0341,93.7500,1.1828,jams
SRR11487932,19,0.8973,0.0221,9.6443,0.8223,0.0348,100.0000,1.1125,jams
SRR11487933,20,0.9110,0.0206,6.3773,0.8339,0.0316,93.7500,1.1377,jams
SRR11487934,20,0.9022,0.0215,6.4627,0.8270,0.0333,93.7500,1.1441,jams
SRR11487935,21,0.9168,0.0204,6.9151,0.8356,0.0309,93.7500,1.2688,jams
Average,20,0.9062,0.0213,7.2509,0.8286,0.0329,95.0000,1.1692,jams
SRR11487931,77,0.9134,0.0195,6.1797,0.8316,0.0318,100.0000,14.8012,wgsa
SRR11487932,76,0.9112,0.0196,6.4008,0.8305,0.0319,100.0000,15.1478,wgsa
SRR11487933,81,0.9198,0.0187,6.5033,0.8385,0.0297,100.0000,14.7250,wgsa
SRR11487934,76,0.9165,0.0189,6.4448,0.8365,0.0304,100.0000,14.9012,wgsa
SRR11487935,80,0.9235,0.0183,6.2562,0.8420,0.0290,100.0000,14.6451,wgsa
Average,78,0.9169,0.0190,6.3570,0.8358,0.0306,100.0000,14.8441,wgsa
SRR11487931,71,0.3723,0.0425,3.1882,0.6373,0.0786,100.0000,12.5540,wol
SRR11487932,73,0.3532,0.0434,3.2368,0.6289,0.0805,100.0000,12.7800,wol
SRR11487933,78,0.3586,0.0427,3.0849,0.6355,0.0794,100.0000,12.3991,wol
SRR11487934,71,0.3760,0.0420,3.1331,0.6418,0.0780,100.0000,12.2290,wol
SRR11487935,74,0.3660,0.0422,3.0234,0.6404,0.0786,100.0000,12.2742,wol
Average,73,0.3652,0.0426,3.1333,0.6368,0.0790,100.0000,12.4473,wol
