species,Mix-A,tax_id
ACHROMOBACTER_XYLOSOXIDANS,0.0,85698
ACINETOBACTER_BAUMANNII,0.045484,470
ACINETOBACTER_SEIFERTII,0.0,1530123
AEROMONAS_HYDROPHILA,0.0045512,644
ENTEROCOCCUS_FAECALIS,0.0003386,1351
ESCHERICHIA_COLI,0.6287174,562
KLEBSIELLA_PNEUMONIAE,0.042416999999999996,573
LEGIONELLA_PNEUMOPHILA,0.011698599999999998,446
LISTERIA_MONOCYTOGENES,0.0,1639
NEISSERIA_MENINGITIDIS,0.6295446,487
SALMONELLA_ENTERICA,0.046894,28901
STAPHYLOCOCCUS_AUREUS,0.5900276,1280
STREPTOCOCCUS_PYOGENES,0.0,1314
VIBRIO_FURNISSII,0.00032680000000000003,29494
