SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR17380241,25,0.7349,0.0118,9.2662,0.8377,0.0176,100.0000,12.1824,bio4
SRR17380242,24,0.7228,0.0125,7.0430,0.8348,0.0178,100.0000,12.4963,bio4
SRR17380243,24,0.7262,0.0122,7.6601,0.8385,0.0177,100.0000,12.2389,bio4
SRR17380244,25,0.7321,0.0119,9.2694,0.8354,0.0177,100.0000,12.0713,bio4
SRR17380245,24,0.7233,0.0121,6.8140,0.8394,0.0179,100.0000,12.2145,bio4
SRR17380246,25,0.7337,0.0118,9.2930,0.8372,0.0176,100.0000,12.1816,bio4
Average,24,0.7288,0.0120,8.2243,0.8372,0.0177,100.0000,12.2308,bio4
SRR17380241,41,0.6427,0.0109,13.4612,0.7734,0.0174,100.0000,7.3217,jams
SRR17380242,43,0.6512,0.0102,14.1590,0.7762,0.0172,100.0000,6.6539,jams
SRR17380243,35,0.5914,0.0124,10.7320,0.7779,0.0192,100.0000,6.5015,jams
SRR17380244,40,0.6313,0.0110,12.2247,0.7758,0.0179,100.0000,6.9000,jams
SRR17380245,43,0.6571,0.0102,14.1460,0.7764,0.0170,100.0000,6.6244,jams
SRR17380246,40,0.6321,0.0112,10.6141,0.7727,0.0178,100.0000,7.1679,jams
Average,40,0.6343,0.0110,12.5562,0.7754,0.0177,100.0000,6.8615,jams
SRR17380241,2991,0.5945,0.0002,84.4364,0.6918,0.0027,100.0000,21.0065,wgsa
SRR17380242,3069,0.5864,0.0002,85.0036,0.6897,0.0027,100.0000,21.1566,wgsa
SRR17380243,2978,0.5967,0.0002,84.4862,0.6922,0.0027,100.0000,20.8576,wgsa
SRR17380244,3101,0.5933,0.0002,87.3076,0.6925,0.0026,100.0000,21.0032,wgsa
SRR17380245,3060,0.5954,0.0002,86.3309,0.6927,0.0026,100.0000,20.9410,wgsa
SRR17380246,3022,0.5951,0.0002,85.3077,0.6925,0.0027,100.0000,20.9850,wgsa
Average,3037,0.5936,0.0002,85.4788,0.6919,0.0027,100.0000,20.9917,wgsa
SRR17380241,2659,0.5208,0.0003,144.7338,0.5308,0.0034,100.0000,27.1282,woltka
SRR17380242,3356,0.5244,0.0003,156.7421,0.5310,0.0030,100.0000,27.7533,woltka
SRR17380243,2735,0.5217,0.0003,146.6864,0.5311,0.0034,100.0000,27.1411,woltka
SRR17380244,3088,0.5194,0.0003,154.7923,0.5301,0.0032,100.0000,27.1434,woltka
SRR17380245,2940,0.5197,0.0003,150.4796,0.5301,0.0033,100.0000,27.0826,woltka
SRR17380246,2721,0.5191,0.0003,146.6560,0.5302,0.0034,100.0000,27.1132,woltka
Average,2916,0.5209,0.0003,150.0150,0.5306,0.0033,100.0000,27.2270,woltka
